id,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Author Keywords,Index Keywords,Publisher,Conference name,Conference date,Conference location,Document Type,Publication Stage,Open Access
631,Houta S.; Ameler T.; Surges R.,Use of HL7 FHIR to structure data in epilepsy self-management applications,2019,"International Conference on Wireless and Mobile Computing, Networking and Communications",4.0,10.1109/WiMOB.2019.8923179,"The expansion of health infrastructure to support the networking of actors in the healthcare system is rapidly growing and is forced by law in several nations. The solutions are based on international standards to ensure interoperability of existing and new health applications and future viability. In the EPItect project, a telemedicine infrastructure for epilepsy care was developed. This paper presents part of the conceptual work and focuses on the structural and semantic standardization of epilepsy data based on the international standard HL7 FHIR. The main contribution of this work is an implementation guide for the exchange of epilepsy related data between epilepsy self-management applications and health infrastructures. © 2019 IEEE.",Epilepsy; EPItect; HL7 FHIR; Mobile Application; Seizures; Wearables,Mobile computing; Neurology; Semantics; Epilepsy; EPItect; HL7 FHIR; Mobile applications; Seizures; Wearables; Information management,IEEE Computer Society,"15th International Conference on Wireless and Mobile Computing, Networking and Communications, WiMob 2019",21 October 2019 through 23 October 2019,Barcelona,Conference paper,Final,All Open Access; Green Open Access
632,Gabetta M.; Mirabelli M.; Klersy C.; Musella V.; Rizzo G.; Pedrazzoli P.; Barbarini N.; Bellazzi R.; Larizza C.,An extension of the i2b2 data warehouse to support REDCap dynamic data pull,2019,Studies in Health Technology and Informatics,4.0,10.3233/978-1-61499-959-1-21,i2b2 and REDCap are two widely adopted solutions respectively to facilitate data re-use for research purpose and to manage non-for-profit research studies. REDCap provides the design specifications to build a web service used to import data from an external source with a procedure called DDP. In this work we have developed a web service that implements these specifications in order to import data from i2b2. Our approach has been tested with a real REDCap study. © 2019 The European Federation for Medical Informatics (EFMI) and IOS Press.,Data integration; DDP; Dynamic data pull; i2b2; REDCap,Data Analysis; Data Warehousing; Data warehouses; Specifications; Web services; Websites; Design specification; Dynamic data; External sources; i2b2; Import data; REDCap; Research purpose; Research studies; conference paper; data warehouse; data analysis; Data integration,IOS Press,"2019 Special Topic Conference on ICT for Health Science Research, EFMI STC 2019",7 April 2019 through 10 April 2019,Hanover,Conference paper,Final,
633,Pavão J.; Bastardo R.; Santos M.; Rocha N.P.,"The Fast Health Interoperability Resources (FHIR) Standard and Homecare, a Scoping Review",2023,Procedia Computer Science,4.0,10.1016/j.procs.2023.01.408,"The scoping review reported by this article aimed to analyze the state of the art of the use of Fast Health Interoperability Resources (FHIR) in the development of homecare applications and was informed by the following research questions: (i) what type of homecare applications benefit from the use of FHIR?; (ii) what FHIR resources are being implemented?; (iii) what publicly available development tools are being used?; and (iv) how privacy and security issues are being addressed? An electronic search was conducted, and 27 studies were included in the scoping review after the selection process. The results show a current interest in using FHIR to implement: i) applications to provide interoperable measurement devices for home monitoring; (ii) applications to remotely collected Patient Reported Outcome Measures (PROM); (iii) Personal Health Records (PHR); and (iv) specific applications for self-management. According to the results, the FHIR resources being implemented are quite diverse and contribute for the challenge of handling the variability caused by diverse healthcare processes. However, the use of publicly available development tools (e.g., SMART on FHIR or HAPI) is not yet generalized. Moreover, just a small number of studies reported the validation of the implemented resources using publicly available FHIR validators. Finally, in terms of privacy and security issues, different approaches were identified: Authentication and authorizations mechanisms, end-To-end encrypted messaging mechanisms, and decentralized management and audit trail based on blockchain technologies. © 2023 Elsevier B.V.. All rights reserved.",Fast Health Interoperability Resources; FHIR; Homecare; Interoperability; Scoping Review,Authentication; Development tools; Fast health interoperability resource; Homecare; Homecare applications; Privacy and security; Privacy issue; Scoping review; Security issues; State of the art; Interoperability,Elsevier B.V.,"2022 International Conference on ENTERprise Information Systems, CENTERIS 2022 - International Conference on Project MANagement, ProjMAN 2022 and International Conference on Health and Social Care Information Systems and Technologies, HCist 2022",9 November 2022 through 11 November 2022,Lisbon,Conference paper,Final,All Open Access; Gold Open Access
634,Myneni S.; Rogith D.; Franklin A.,Digilego: A standardized analytics-driven consumer-oriented connected health framework,2018,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5.0,10.1007/978-3-319-93372-6_30,"Connected health solutions provide novel pathways to provide integrated and affordable care. Emerging research suggests these connected tools can result improved health outcomes and sustainable self-health management. However, current health technology frameworks limit flexibility, engagement, and reusability of underlying connected health components. The objective of this paper is to develop a data-driven consumer engagement framework, which we call Digilego, to facilitate development of connected health solutions that are targeted, modular, extensible, and engaging. The major components include social media analysis, patient engagement features, and behavioral intervention technologies. We propose implementation of these Digilego components using FHIR specification such that the resulting technology is compliant to industry standards. We apply and evaluate the proposed framework to characterize four individual building blocks (DigiMe, DigiSocial, DigiConnect, DigiEHR) for a connected health solution that is responsive to cancer survivor needs. Results indicate that the framework (a) allows identification of survivor needs (e.g. social integration, treatment side effects) through semi-automated social media analysis, (b) facilitates infusion of engagement elements (e.g. smart health trackers, integrated electronic health records), and (c) integrates behavior change constructs into the design architecture of survivorship applications (e.g. goal setting, emotional coping). End user evaluation with 16 cancer survivors indicated general user acceptance and enthusiasm to adopt the solution for self-care management. Implications for design of patient-engaging chronic disease management solutions are discussed. © 2018, Springer International Publishing AG, part of Springer Nature.",Chronic disease; Connected health; Consumer informatics,Human computer interaction; Patient treatment; Reusability; Social networking (online); Behavioral interventions; Chronic disease; Chronic disease management; Connected healths; Informatics; Integrated electronics; Social integrations; Social media analysis; Diseases,Springer Verlag,"11th International Conference on Social Computing, Behavioral-Cultural Modeling, and Prediction conference and Behavior Representation in Modeling and Simulation, SBP-BRiMS 2018",10 July 2018 through 13 July 2018,Washington,Conference paper,Final,
635,Arcia A.; Suero-Tejeda N.; Bakken S.,Development of pictograms for an interactive web application to help Hispanic caregivers learn about the functional stages of dementia,2019,Studies in Health Technology and Informatics,5.0,10.3233/SHTI190399,"Caregivers of persons with dementia need anticipatory guidance about the stages of dementia in order to prepare for the caregiving situations they will face. The study objective was to develop a set of pictograms representing the functional stages of dementia for eventual inclusion in a tailored, educational web application. We used a hybrid iterative participatory design process. A graphic designer prepared prototypes in a flat, minimalistic style. These were then culled and refined based on feedback from 16 Hispanic caregivers in six design sessions in English and Spanish. The resulting 19 pictograms representing the functional stages and substages of dementia were acceptable to and easily comprehended by participants. Short, plain-language captions support comprehension and aid discrimination between similar scenarios. Our participants preferred candid depictions of all aspects of dementia, including bodily functions, but acceptability may vary by population so further testing is warranted prior to deployment with a new population. © 2019 International Medical Informatics Association (IMIA) and IOS Press. This article is published online with Open Access by IOS Press and distributed under the terms of the Creative Commons Attribution Non-Commercial License 4.0 (CC BY-NC 4.0).",Consumer Health Information; Health Literacy; Patient Participation,Caregivers; Comprehension; Dementia; Hispanic Americans; Humans; Language; Neurodegenerative diseases; Anticipatory guidance; Consumer health information; Graphic designers; Health literacy; Interactive web applications; Participatory design; Patient Participation; Persons with dementia; caregiver; comprehension; dementia; Hispanic; human; language; Medical informatics,IOS Press,"17th World Congress on Medical and Health Informatics, MEDINFO 2019",25 August 2019 through 30 August 2019,Lyon,Conference paper,Final,
636,Metke-Jimenez A.; Harrap K.; Conlan D.; Gibson S.; Pearson J.; Hansen D.,A smart on FHIR prototype for genomic test ordering,2019,Studies in Health Technology and Informatics,5.0,10.3233/SHTI190783,"Queensland Genomics recently undertook a number of Clinical Demonstration Projects (CDPs) to demonstrate the benefits of genomics in clinical practice. Integration of this testing requires the health system to provide the infrastructure for the appropriate ordering of these tests. Ordering of genomics tests will likely require greater exchange of information between the ordering clinician and the lab that is producing a clinical test report. The clinical demonstration projects were used to understand the information flow and the use of genomic, phenotypic and other information through the test ordering, analysis and reporting stages. This information was used to inform a set of requirements for a genomics test ordering and reporting system. A prototype of this system was developed as a SMART on FHIR application. This prototype will inform a future production system with FHIR Resources, software interfaces and interoperability requirements. © 2019 The authors and IOS Press. This article is published online with Open Access by IOS Press and distributed under the terms of the Creative Commons Attribution Non-Commercial License 4.0 (CC BY-NC 4.0).",FHIR; Genomics; SMART on FHIR; Test Ordering,Electronic Health Records; Genomics; Health Level Seven; Queensland; Software; Genes; Health; Hybrid integrated circuits; Integration testing; Medical informatics; Software prototyping; Testing; Clinical demonstrations; Exchange of information; FHIR; Genomics; Interoperability requirements; SMART on FHIR; Software interfaces; Test orderings; conference paper; genomics; human; software; electronic health record; health level 7; Queensland; Interoperability,IOS Press,"27th Australian National Health Informatics Conference, HIC 2019",12 August 2019 through 14 August 2019,Melbourne,Conference paper,Final,
637,Kondylakis H.; Petrakis Y.; Leivadaros S.; Iatraki G.; Katehakis D.,Using XDS and FHIR to support mobile access to EHR information through personal health apps,2019,Proceedings - IEEE Symposium on Computer-Based Medical Systems,5.0,10.1109/CBMS.2019.00058,"The widespread usage of electronic health record (EHR) systems and the prevalence of personal health apps has led to the digitization of huge quantities of health and medical data. However, the lack of plug and play interoperability between them is a major bottleneck, significantly restricting their exploitation potential. This paper presents a novel infrastructure developed for enabling the seamless integration between such systems, focusing on the use of state-of-the-art, widely accepted, interfaces. The infrastructure effectively supports end-user needs for integrated care, bringing linked EHR information from multiple providers at the point of care by means of personal health apps. Integration is provided through cross-enterprise document sharing (XDS) and fast healthcare interoperability resources (FHIR) services. The described infrastructure facilitates interoperability by enabling citizens to use a personal health app of their choosing for accessing own medical record information stored at multiple sites, by combining the benefits and potential of both XDS and FHIR. © 2019 IEEE.",Electronic Health Record; FHIR; Hospital Information Systems; Interoperability; Personal Health Apps; XDS,Health; Interface states; Records management; Electronic health record; Electronic health record systems; Exploitation potentials; FHIR; Healthcare Interoperability; Hospital information systems; Personal health; Seamless integration; Interoperability,Institute of Electrical and Electronics Engineers Inc.,"32nd IEEE International Symposium on Computer-Based Medical Systems, CBMS 2019",5 June 2019 through 7 June 2019,Cordoba,Conference paper,Final,
638,Zhang L.; Ren J.; Yuan H.; Yang Z.; Wang W.; Guo M.; Cheng G.; Zhou L.; Tao S.; Zhang L.; Cui H.; Fang Y.,"Evaluation of Smart Healthcare Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness and Sustainability",2020,"5th International Conference on Universal Village, UV 2020",5.0,10.1109/UV50937.2020.9426210,"At the present time, the healthcare system is facing great challenges, such as ever growing healthcare cost, limited healthcare resources, inconsistent healthcare quality and population aging, while the transformation into the smart healthcare system, enabled by new technologies and algorithms, further aggravates these problems and introduces new challenges, such as privacy, safety and security issues. Furthermore, the lifestyle supported by environmental degradation and soaring resource consumption jeopardizes people's health and wellbeing. In this paper, we evaluate, from the UV perspective, the challenges of the healthcare system and the current status of the smart healthcare system based on the framework of closed feedback control loop: data acquisition, communication, decision making and action. We propose that an effective smart healthcare system should take into consideration of the interaction between the smart healthcare system and other seven smart city subsystems: smart home, intelligent transportation, urban planning and crowd management, smart energy management, smart city infrastructure, smart response system for city emergency, smart environmental protection and smart humanity, and also study how the smart healthcare system would be affected by four major impacting factors of smart cities: information flow, material cycle, lifestyle and community. This systematic study will help us explore in depth the complicated dynamic relationship between multiple impacting factors and propose a UV-oriented, integrated, re-silient, inclusive and sustainable development framework design to address current imminent challenges and to improve human health through patient-oriented monitoring, life-long healthcare data management, personalized lifestyle guidance and suggestions, preventive healthcare, and timely treatment. © 2020 IEEE.",closed feedback control loop; dynamic relationship; information flow; lifestyle and community; material cycle; Smart Healthcare System; UV perspective,Automation; Behavioral research; Control systems; Data acquisition; Decision making; Environmental protection; Materials handling; Patient treatment; Privacy by design; Rural areas; Smart city; Sustainable development; Urban transportation; Development frameworks; Feedback control loops; Health-care system; Healthcare resources; Intelligent transportation; Resource consumption; Safety and securities; Smart healthcare systems; Information management,Institute of Electrical and Electronics Engineers Inc.,"5th International Conference on Universal Village, UV 2020",24 October 2020 through 27 October 2020,Boston,Conference paper,Final,
639,Helm E.; Krauss O.; Lin A.; Pointner A.; Schuler A.; Küng J.,Process Mining on FHIR - An Open Standards-Based Process Analytics Approach for Healthcare,2021,Lecture Notes in Business Information Processing,5.0,10.1007/978-3-030-72693-5_26,"Process mining has become its own research discipline over the last years, providing ways to analyze business processes based on event logs. In healthcare, the characteristics of organizational and treatment processes, especially regarding heterogeneous data sources, make it hard to apply process mining techniques. This work presents an approach to utilize established standards for accessing the audit trails of healthcare information systems and provides automated mapping to an event log format suitable for process mining. It also presents a way to simulate healthcare processes and uses it to validate the approach. © 2021, Springer Nature Switzerland AG.",Healthcare; HL7 FHIR; Process mining,Health care; Medical computing; Automated mapping; Business Process; Health care information system; Healthcare process; Heterogeneous data sources; Process analytics; Process mining; Treatment process; Data mining,Springer Science and Business Media Deutschland GmbH,"International Conference on Process Mining, ICPM 2020",5 October 2020 through 8 October 2020,"Virtual, Online",Conference paper,Final,
640,Marteau B.L.; Zhu Y.; Giuste F.; Shi W.; Carpenter A.; Hilton C.; Wang M.D.,Accelerating Multi-site Health Informatics with Streamlined Data Infrastructure using OMOP-on-FHIR,2022,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",5.0,10.1109/EMBC48229.2022.9871865,"Shriners Children's (SHC) is a hospital system whose mission is to advance the treatment and research of pediatric diseases. SHC success has generated a wealth of clinical data. Unfortunately, barriers to healthcare data access often limit data-driven clinical research. We decreased this burden by allowing access to clinical data via the standardized data access standard called FHIR (Fast Healthcare Interoperability Resources). Specifically, we converted existing data in the Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) standard into FHIR data elements using a technology called OMOP-on-FHIR. In addition, we developed two applications leveraging the FHIR data elements to facilitate patient cohort curation to advance research into pediatric musculoskeletal diseases. Our work enables clinicians and clinical researchers to use hundreds of currently available open-sourced FHIR applications. Our successful implementation of OMOP-on-FHIR within a large hospital system will accelerate advancements in pediatric disease treatment and research. © 2022 IEEE.",,Child; Health Facilities; Hospitals; Humans; Medical Informatics; Musculoskeletal Diseases; Technology; Clinical research; Diseases; Health care; Hospitals; Medical informatics; Clinical data; Clinical research; Common data model; Data access; Data driven; Data elements; Data infrastructure; Health informatics; Healthcare Interoperability; Multi-site; child; health care facility; hospital; human; medical informatics; musculoskeletal disease; technology; Pediatrics,Institute of Electrical and Electronics Engineers Inc.,"44th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2022",11 July 2022 through 15 July 2022,Glasgow,Conference paper,Final,
641,Hoffman R.A.; Wu H.; Venugopalan J.; Braun P.; Wang M.D.,Intelligent mortality reporting with FHIR,2017,"2017 IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",6.0,10.1109/BHI.2017.7897235,"One pressing need in the area of public health is timely, accurate, and complete reporting of deaths and the conditions leading up to them. Fast Healthcare Interoperability Resources (FHIR) is a new HL7 interoperability standard for electronic health record (EHR), while Sustainable Medical Applications and Reusable Technologies (SMART)-on-FHIR enables third-party app development that can work 'out of the box'. This research demonstrates the feasibility of developing SMART-on-FHIR applications to enable medical professionals to perform timely and accurate death reporting within multiple different jurisdictions of US. We explored how the information on a standard certificate of death can be mapped to resources defined in the FHIR standard (DSTU2). We also demonstrated analytics for potentially improving the accuracy and completeness of mortality reporting data. © 2017 IEEE.",,Interoperability; Medical applications; Electronic health record; Healthcare Interoperability; Medical professionals; Reusable technology; Third parties; Health,Institute of Electrical and Electronics Engineers Inc.,"4th IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",16 February 2017 through 19 February 2017,Orlando,Conference paper,Final,All Open Access; Green Open Access
642,Misic V.B.; Misic J.; Chang X.,Towards a blockchain-based healthcare information system: Invited paper,2019,"2019 IEEE/CIC International Conference on Communications in China, ICCC 2019",6.0,10.1109/ICCChina.2019.8855911,"Healthcare information systems are the next big application area for Blockchain technology. However, straightforward extensions of existing digital cryptocurrency systems such as Bitcoin and Ethereum results in systems that are unsuitable for the challenges posed by healthcare systems. In this paper, we propose an architecture for a blockchain-based healthcare information system in which block validation is performed through collective signatures initiated by a designated leader and executed by a pool of witnesses. Furthermore, we describe a smart-contract based approach that allows data owners to explicitly grant or revoke authorizations for other actors to access healthcare data. All accesses, successful or not, are recorded on the blockchain as separate transactions, thus ensuring transparency and privacy protection. © 2019 IEEE.",,Health care; Information systems; Information use; Medical computing; Application area; Health care information system; Health-care system; Privacy protection; Blockchain,Institute of Electrical and Electronics Engineers Inc.,"2019 IEEE/CIC International Conference on Communications in China, ICCC 2019",11 August 2019 through 13 August 2019,Changchun,Conference paper,Final,
643,Janson A.L.; Moen A.; Fuglerud K.S.,Design of the capable health empowerment tool: Citizens' needs and expectations,2020,Studies in Health Technology and Informatics,6.0,10.3233/SHTI200297,"It is important but difficult for citizens to gain a proper overview of their health-related information. The CAPABLE project aims to create a digital tool that enable citizens to actively utilize their clinical and personal health information to manage medication, improve nutrition, and facilitate health services coordination. 57 participants have participated in various user-centered co-creation activities. A key finding of citizen's needs and expectations is that citizens are positive about such a tool provided it is easy to use and requires minimal work. Especially, opportunities to collect and utilize already existing digital health information, having access to personalized and relevant checklists and personalized resources, and be able to share health information with health personnel and others according to their own trust and privacy preferences. Involving other stakeholders to ensure integration with other systems is of principal importance to fulfil citizens' expectations of integration and automatization. © 2020 European Federation for Medical Informatics (EFMI) and IOS Press.",Automatization; Inclusive design; Interoperability; Medication management; MHealth; Personalization; Privacy; User-centered design,Confidentiality; Empowerment; Health Resources; Motivation; Privacy; Digital devices; Medicine; Co-creation; Digital tools; Health informations; Health related informations; Health services; Personal health informations; Privacy preferences; User-centered; adult; automation; checklist; conference paper; empowerment; expectation; female; health care personnel; human; human experiment; major clinical study; male; medical information; medication therapy management; nutrition; privacy; trust; confidentiality; health care planning; motivation; privacy; Medical informatics,IOS Press,"30th Medical Informatics Europe Conference, MIE 2020",28 April 2020 through 1 May 2020,Geneva,Conference paper,Final,
644,Sanchez-Pinto L.N.; Sauthier M.; Rajapreyar P.; Brunow De Carvalho W.; Jouvet P.; Newth C.,Leveraging Clinical Informatics and Data Science to Improve Care and Facilitate Research in Pediatric Acute Respiratory Distress Syndrome: From the Second Pediatric Acute Lung Injury Consensus Conference,2023,Pediatric Critical Care Medicine,6.0,10.1097/PCC.0000000000003155,"OBJECTIVES: The use of electronic algorithms, clinical decision support systems, and other clinical informatics interventions is increasing in critical care. Pediatric acute respiratory distress syndrome (PARDS) is a complex, dynamic condition associated with large amounts of clinical data and frequent decisions at the bedside. Novel data-driven technologies that can help screen, prompt, and support clinician decision-making could have a significant impact on patient outcomes. We sought to identify and summarize relevant evidence related to clinical informatics interventions in both PARDS and adult respiratory distress syndrome (ARDS), for the second Pediatric Acute Lung Injury Consensus Conference. DATA SOURCES: MEDLINE (Ovid), Embase (Elsevier), and CINAHL Complete (EBSCOhost). STUDY SELECTION: We included studies of pediatric or adult critically ill patients with or at risk of ARDS that examined automated screening tools, electronic algorithms, or clinical decision support systems. DATA EXTRACTION: Title/abstract review, full text review, and data extraction using a standardized data extraction form. DATA SYNTHESIS: The Grading of Recommendations Assessment, Development and Evaluation approach was used to identify and summarize evidence and develop recommendations. Twenty-six studies were identified for full text extraction to address the Patient/Intervention/Comparator/Outcome questions, and 14 were used for the recommendations/statements. Two clinical recommendations were generated, related to the use of electronic screening tools and automated monitoring of compliance with best practice guidelines. Two research statements were generated, related to the development of multicenter data collaborations and the design of generalizable algorithms and electronic tools. One policy statement was generated, related to the provision of material and human resources by healthcare organizations to empower clinicians to develop clinical informatics interventions to improve the care of patients with PARDS. CONCLUSIONS: We present two clinical recommendations and three statements (two research one policy) for the use of electronic algorithms and clinical informatics tools for patients with PARDS based on a systematic review of the literature and expert consensus. Copyright © 2022 by the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies.Unauthorized reproduction of this article is prohibited.",clinical decision support; clinical informatics; data science; machine learning; pediatric acute respiratory distress syndrome,Adult; Algorithms; Child; Consensus; Critical Care; Data Science; Humans; Multicenter Studies as Topic; Respiratory Distress Syndrome; acute lung injury; adult; adult respiratory distress syndrome; algorithm; child; Cinahl; clinical decision support system; clinician; Conference Paper; consensus; consensus development; critically ill patient; data extraction; data science; Embase; empowerment; evidence based practice; GRADE approach; health care organization; human; medical care; medical informatics; medical practice; medical research; Medline; monitoring; pediatric acute respiratory distress syndrome; practice guideline; protective ventilation; protocol compliance; respiratory distress syndrome; risk factor; screening; systematic review; tidal volume; intensive care; multicenter study (topic); respiratory distress syndrome,Lippincott Williams and Wilkins,,,,Conference paper,Final,
645,Taylor D.E.; Choi M.; Riley M.; Schneider T.; Duke J.; Dixon B.E.,Integration of FHIR to facilitate electronic case reporting: Results from a pilot study,2019,Studies in Health Technology and Informatics,7.0,10.3233/SHTI190362,"Current approaches to gathering sexually transmitted infection (STI) case information for surveillance efforts are inefficient and lead to underreporting of disease burden. Electronic health information systems offer an opportunity to improve how STI case information can be gathered and reported to public health authorities. To test the feasibility of a standards-based application designed to automate STI case information collection and reporting, we conducted a pilot study where electronic laboratory messages triggered a FHIR-based application to query a patient's electronic health record for details needed for an electronic case report (eCR). Out of 214 cases observed during a one week period, 181 (84.6%) could be successfully confirmed automatically using the FHIR-based application. Data quality and information representation challenges were identified that will require collaborative efforts to improve the structure of electronic clinical messages as well as the robustness of the FHIR application. © 2019 International Medical Informatics Association (IMIA) and IOS Press.",Disease Notification; Health Information Exchange; Sexually Transmitted Diseases,"Electronic Health Records; Health Records, Personal; Humans; Pilot Projects; Public Health; Sexually Transmitted Diseases; Public health; Case informations; Disease burdens; Electronic health; Electronic health record; Health information exchanges; Information representation; Sexually transmitted disease; Sexually transmitted infections; electronic health record; human; medical record; pilot study; public health; sexually transmitted disease; Medical informatics",IOS Press,"17th World Congress on Medical and Health Informatics, MEDINFO 2019",25 August 2019 through 30 August 2019,Lyon,Conference paper,Final,
646,Eapen B.R.; Archer N.; Sartipi K.; Yuan Y.,Drishti: A sense-plan-act extension to open mHealth framework using FHIR,2019,"Proceedings - 2019 IEEE/ACM 1st International Workshop on Software Engineering for Healthcare, SEH 2019",7.0,10.1109/SEH.2019.00016,"Mobile Health (mHealth) is vital in promoting a collaborative healthcare model. Disparate mHealth Apps that do not talk to each other make complex behavioural interventions difficult. Open mHealth is a schema and framework for facilitating health information exchange for mHealth apps. We propose an extension to open mHealth for behavioural interventions. We call our proposed extension; Drishti (yogic gaze). It applies the sense-plan-act paradigm from robotics. We offer an open-source implementation of Drishti, and we evaluate it using a design science research framework. © 2019 IEEE.",FHIR; Interoperability; MHealth,Interoperability; Open source software; Collaborative health care; Design-science researches; FHIR; Health information exchanges; Mobile Health (M-Health); Open source implementation; mHealth,Institute of Electrical and Electronics Engineers Inc.,"1st IEEE/ACM International Workshop on Software Engineering for Healthcare, SEH 2019",27 May 2019,Montreal,Conference paper,Final,
647,Stoldt J.-P.; Weber J.H.,Safety Improvement for SMART on FHIR Apps with Data Quality by Contract,2020,"Proceedings - 2020 IEEE International Conference on Software Architecture Companion, ICSA-C 2020",7.0,10.1109/ICSA-C50368.2020.00041,"Initiatives leveraging the emerging SMART on FHIR standard are promising healthcare system improvements while reducing information technology costs with reusable system components. Previously closed Electronic Medical Record systems are gradually opened to third party applications through FHIR-enabled APIs. While this allows for technical interoperability, patient safety concerns from data quality issues with the underlying system data remain unsolved. We propose to apply a 'Data Quality by Contract' approach to pre- and post-conditions of data use cases to assure safe operation of SMART on FHIR apps. We demonstrate how a cardiac risk scoring app could leverage data quality probes to validate several data quality concerns. © 2020 IEEE.",data quality; electronic medical records; health information systems; safety; SMART on FHIR; software engineering,Interoperability; Medical computing; Safety engineering; Software architecture; Telemedicine; Electronic medical record system; Health-care system; Pre and post conditions; Safety improvement; System components; Technical interoperability; Third party application (Apps); Underlying systems; Data reduction,Institute of Electrical and Electronics Engineers Inc.,"2020 IEEE International Conference on Software Architecture Companion, ICSA-C 2020",16 March 2020 through 20 March 2020,Salvador,Conference paper,Final,
648,Andersen B.; Kasparick M.; Ulrich H.; Schlichting S.; Golatowski F.; Timmermann D.; Ingenerf J.,Point-of-care medical devices and systems interoperability: A mapping of ICE and FHIR,2016,"2016 IEEE Conference on Standards for Communications and Networking, CSCN 2016",8.0,10.1109/CSCN.2016.7785165,"Medical devices at the point-of-care can be interconnected through standardised communication protocols to build an Integrated Clinical Environment (ICE), but in order to interoperate with clinical information systems, different data exchange standards need to be conformed to. The emerging HL7 Fast Healthcare Interoperability Resources (FHIR) framework appeals to developers and clinicians alike and is a promising candidate to modernise this domain. Novel IEEE 11073 standard proposals that specify a service-oriented architecture of networked medical devices are one example for an ICE architecture. They are based on expressing a device's capabilities and state in a machine-readable way in order to be safely accessed and manipulated by other participants in the networked device system. In this work, the domain information and service model of this ICE architecture was mapped to FHIR resources that were constrained and extended to support the modelling of this device architecture. Through the definition of a FHIR profile, the data structures were aligned, effectively allowing for the transformation of medical device observation data from ICE to FHIR representation without the need for any proprietary interface. The implementation of this transformation, e. g. as a gateway, bridges the structural interoperability gap between two contemporary communication architectures for medical devices and clinical information systems and thus lays the foundation for semantic interoperability that can be achieved through the combined use with controlled vocabularies. The consequent availability of device data enables secondary usage such as large-scale data analytics. Future sub-profiles for specific device types further simplify the transformation. © 2016 IEEE.",,Biomedical equipment; Distributed computer systems; Electronic data interchange; Gateways (computer networks); Ice; Information services; Information systems; Interoperability; Metadata; Semantics; Service oriented architecture (SOA); Standards; Clinical information system; Communication architectures; Data Exchange Standard; Device architectures; Domain informations; Healthcare Interoperability; Integrated clinical environments; Semantic interoperability; Medical information systems,Institute of Electrical and Electronics Engineers Inc.,"2016 IEEE Conference on Standards for Communications and Networking, CSCN 2016",31 October 2016 through 2 November 2016,Berlin,Conference paper,Final,
649,Schaaf J.; Boeker M.; Ganslandt T.; Haverkamp C.; Hermann T.; Kadioglu D.; Prokosch H.-U.; Wagner T.O.F.; Von Wagner M.; Schaefer J.; Sedlmayr M.; Storf H.,Finding the needle in the hay stack: An open architecture to support diagnosis of undiagnosed patients,2019,Studies in Health Technology and Informatics,8.0,10.3233/SHTI190544,"Clinical Decision Support Systems (CDSS) are promising to support physicians in finding the right diagnosis of patients with rare diseases (RD). The MIRACUM consortium, which includes ten university hospitals in Germany, will establish a diagnosis support system for RD. This system conducts a similarity analysis on distributed clinical data with the aim to identify similar patient cases at each MIRACUM site to offer the physician a hint to a possible diagnosis. © 2019 International Medical Informatics Association (IMIA) and IOS Press. This article is published online with Open Access by IOS Press and distributed under the terms of the Creative Commons Attribution Non-Commercial License 4.0 (CC BY-NC 4.0).",Clinical Decision Support; Data Science; Rare Diseases,"Decision Support Systems, Clinical; Germany; Hospitals, University; Humans; Physicians; Artificial intelligence; Data Science; Decision support systems; Diseases; Medical informatics; Clinical data; Clinical decision support; Clinical decision support systems; Diagnosis support systems; Open architecture; Patient case; Rare disease; Similarity analysis; clinical decision support system; Germany; human; physician; university hospital; Diagnosis",IOS Press,"17th World Congress on Medical and Health Informatics, MEDINFO 2019",25 August 2019 through 30 August 2019,Lyon,Conference paper,Final,
